Date Time,Temperature,Humidity,Pressure,Light
"05/14/2022, 18:42:28",23.0,86.0,101.9
"05/14/2022, 18:42:32",23.0,86.0,101.9
"05/14/2022, 18:42:36",23.0,86.0,101.9
"05/14/2022, 18:42:40",23.0,86.0,101.9
"05/14/2022, 18:42:44",23.0,86.0,101.9
"05/14/2022, 18:42:48",E,r,101.9
"05/14/2022, 18:51:59",23.0,75.0,101.9
"05/14/2022, 18:52:03",23.0,73.0,101.9
"05/14/2022, 18:52:07",23.0,85.0,101.9
"05/14/2022, 18:52:11",23.0,85.0,101.9
"05/14/2022, 18:52:15",23.0,85.0,101.9
"05/14/2022, 18:52:19",23.0,85.0,101.9
"05/14/2022, 18:52:23",23.0,85.0,101.9
"05/14/2022, 18:52:27",23.0,85.0,101.9
"05/14/2022, 18:52:31",23.0,85.0,101.9
"05/14/2022, 18:52:35",23.0,85.0,101.9
"05/14/2022, 18:52:39",23.0,85.0,101.9
"05/14/2022, 18:52:43",23.0,86.0,101.9
"05/14/2022, 18:52:47",23.0,86.0,101.9
"05/14/2022, 18:52:52",23.0,85.0,101.9
"05/14/2022, 18:52:56",23.0,82.0,101.9
"05/14/2022, 18:53:01",23.0,86.0,101.9
"05/14/2022, 18:53:05",23.0,82.0,101.9
"05/14/2022, 18:53:09",23.0,86.0,101.9
"05/14/2022, 18:53:13",23.0,86.0,101.9
"05/14/2022, 18:53:17",23.0,85.0,101.9
"05/14/2022, 18:53:21",23.0,86.0,101.9
"05/14/2022, 18:53:25",23.0,86.0,101.9
"05/14/2022, 18:53:29",23.0,86.0,101.9
"05/14/2022, 18:53:33",23.0,86.0,101.9
"05/14/2022, 18:53:38",23.0,86.0,101.9
"05/14/2022, 18:53:42",23.0,83.0,101.9
"05/14/2022, 18:53:46",23.0,87.0,101.9
"05/14/2022, 18:53:50",23.0,87.0,101.9
"05/14/2022, 18:53:54",23.0,87.0,101.9
"05/14/2022, 18:53:58",23.0,87.0,101.9
"05/14/2022, 18:54:02",23.0,86.0,101.9
"05/14/2022, 18:54:06",23.0,86.0,101.9
"05/14/2022, 18:54:10",23.0,86.0,101.9
"05/14/2022, 18:54:14",23.0,85.0,101.9
"05/14/2022, 18:54:18",23.0,85.0,101.9
"05/14/2022, 18:54:23",23.0,85.0,101.9
"05/14/2022, 18:54:27",23.0,81.0,101.9
"05/14/2022, 18:54:31",23.0,84.0,101.9
"05/14/2022, 18:54:35",23.0,84.0,101.9
"05/14/2022, 18:54:39",23.0,84.0,101.9
"05/14/2022, 18:54:43",23.0,84.0,101.9
"05/14/2022, 18:54:47",23.0,84.0,101.9
"05/14/2022, 18:54:51",23.0,84.0,101.9
"05/14/2022, 18:54:55",23.0,84.0,101.9
"05/14/2022, 18:54:59",E,r,101.9
"05/14/2022, 18:56:34",23.0,84.0,101.9
"05/14/2022, 18:56:39",E,r,101.9
"05/14/2022, 18:56:43",23.0,81.0,101.9
"05/14/2022, 18:56:47",23.0,85.0,101.9
"05/14/2022, 18:56:51",23.0,86.0,101.9
"05/14/2022, 18:56:55",23.0,86.0,101.9
"05/14/2022, 18:56:59",23.0,86.0,101.9
"05/14/2022, 18:57:04",23.0,86.0,101.9
"05/14/2022, 18:57:58",23.0,82.0,101.9
"05/14/2022, 18:58:03",23.0,74.0,101.9
"05/14/2022, 18:58:07",23.0,82.0,101.9
"05/14/2022, 18:58:11",23.0,87.0,101.9
"05/14/2022, 18:58:15",23.0,87.0,101.9
"05/14/2022, 18:58:19",23.0,87.0,101.9
"05/14/2022, 18:58:23",23.0,87.0,101.9
"05/14/2022, 18:58:27",23.0,87.0,101.9
"05/14/2022, 19:07:34",23.0,87.0,101.9
"05/14/2022, 19:07:42",23.0,76.0,101.9
"05/14/2022, 19:07:46",E,r,101.9
"05/14/2022, 19:07:52",23.0,88.0,101.9
"05/14/2022, 19:07:57",23.0,81.0,101.9
"05/14/2022, 19:08:02",23.0,84.0,101.9
"05/14/2022, 19:08:06",23.0,84.0,101.9
"05/14/2022, 19:08:10",23.0,88.0,101.9
"05/14/2022, 19:08:14",23.0,87.0,101.9
"05/14/2022, 19:08:18",23.0,88.0,101.9
"05/14/2022, 19:08:22",23.0,86.0,101.9
"05/14/2022, 19:08:26",23.0,87.0,101.9
"05/14/2022, 19:08:30",23.0,87.0,101.9
"05/14/2022, 19:18:22",23.0,75.0,101.9
"05/14/2022, 19:18:26",E,r,101.9
"05/14/2022, 19:18:30",23.0,88.0,101.9
